order,note_id,status,text,tokens,new_tokens
1,1784132645487,KEEP,"Buckle up, we're taking off soon",buckle | off | re | soon | taking | up | we,buckle | off | re | soon | taking | up | we
2,1784217514466,KEEP,Don't litter,do | litter | n't,do | litter | n't
3,1784996555327,KEEP,The car is teal,car | is | teal | the,car | is | teal | the
4,1784996563032,KEEP,The logo is cyan,cyan | is | logo | the,cyan | logo
5,1784996574336,KEEP,The dog is brown,brown | dog | is | the,brown | dog
6,1784996587248,KEEP,She wears a brooch on her clothes,a | brooch | clothes | her | on | she | wears,a | brooch | clothes | her | on | she | wears
7,1784996623039,KEEP,Fasten your seat belt,belt | fasten | seat | your,belt | fasten | seat | your
8,1784996629907,KEEP,Tighten your seat belt,belt | seat | tighten | your,tighten
